"Marca temporal","¿Con que frecuencia vas a la playa?","¿En dónde les gustaría tomar el camión para ir a la playa?
Selecciona solamente 4","IDA
¿En que horario te gustaría que pase la ruta?
Selecciona 4","REGRESO
¿En que horario te gustaría que pase la ruta?
Selecciona 4","¿Usarías un transporte gratuito para ir a la playa los fines de semana?"
"2026/03/09 1:47:09 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;11:00 am;13:00 pm;17:00 pm","11:00 am;14:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 1:48:27 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","11:00 am;12:00 pm;13:00 pm;14:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 1:48:47 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/09 1:51:14 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;11:00 am;12:00 pm;13:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:51:27 p. m. GMT-5","1 vez al mes","Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","13:00 pm;14:00 pm;15:00 pm;16:00 pm","Si"
"2026/03/09 1:53:28 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am","16:00 pm;17:00 pm","Si"
"2026/03/09 1:53:37 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","11:00 am;12:00 pm;13:00 pm;14:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 1:53:54 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","12:00 pm;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:54:13 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:55:54 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","11:00 am;12:00 pm;13:00 pm","17:00 pm;18:00 pm","Si"
"2026/03/09 1:56:16 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;12:00 pm;14:00 pm;16:00 pm","11:00 am;15:00 pm;19:00 pm","Si"
"2026/03/09 1:56:55 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;12:00 pm;15:00 pm","13:00 pm;19:00 pm","Si"
"2026/03/09 2:00:09 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;11:00 am;13:00 pm;16:00 pm","11:00 am;14:00 pm;16:00 pm;18:00 pm","Si"
"2026/03/09 2:00:13 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","11:00 am;13:00 pm;14:00 pm;15:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 2:03:32 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","15:00 pm;16:00 pm","Si"
"2026/03/09 2:04:11 p. m. GMT-5","1 vez al mes","Oxxo Rancho Nuevo","09:00 am","14:00 pm;15:00 pm","Si"
"2026/03/09 2:06:53 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am","14:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:11:40 p. m. GMT-5","2 veces al mes","Oxxo Rancho Nuevo","11:00 am;12:00 pm;13:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 2:12:58 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;10:00 am;12:00 pm;13:00 pm","16:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:13:05 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am;11:00 am;12:00 pm;13:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 2:15:17 p. m. GMT-5","3 veces al mes","Oxxo Rancho Nuevo","09:00 am;14:00 pm","16:00 pm;19:00 pm","No"
"2026/03/09 2:15:21 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am","15:00 pm;17:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:15:59 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;14:00 pm;16:00 pm;17:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 2:18:10 p. m. GMT-5","4 veces al mes","Bodega Aurrera Corales","09:00 am;11:00 am;14:00 pm;16:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:20:52 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","13:00 pm","16:00 pm","Si"
"2026/03/09 2:21:31 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Oxxo Rancho Nuevo","09:00 am;13:00 pm;15:00 pm;17:00 pm","11:00 am;16:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:21:55 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;11:00 am;12:00 pm;13:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:22:28 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 2:24:24 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","10:00 am;12:00 pm;13:00 pm;16:00 pm","12:00 pm;15:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 2:24:53 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:25:52 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;12:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 2:26:08 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;13:00 pm;16:00 pm;19:00 pm","10:00 am;13:00 pm;16:00 pm;19:00 pm","Si"
"2026/03/09 2:26:45 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;13:00 pm;17:00 pm;18:00 pm","18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:27:59 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;11:00 am;12:00 pm;13:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:32:28 p. m. GMT-5","1 vez al mes","","09:00 am;11:00 am;13:00 pm;15:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm","Si"
"2026/03/09 2:33:38 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","12:00 pm;13:00 pm;14:00 pm;15:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 2:36:59 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:41:18 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Bodega Aurrera Corales","09:00 am;10:00 am","13:00 pm;14:00 pm;15:00 pm","Si"
"2026/03/09 2:44:53 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","12:00 pm;15:00 pm;19:00 pm","18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 2:46:58 p. m. GMT-5","2 veces al mes","Oxxo Rancho Nuevo","09:00 am;11:00 am;13:00 pm;17:00 pm","12:00 pm;15:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/09 2:48:32 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","10:00 am;11:00 am;14:00 pm;15:00 pm","13:00 pm;14:00 pm;17:00 pm;19:00 pm","Si"
"2026/03/09 2:58:57 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:01:34 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;15:00 pm;16:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:09:16 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;11:00 am;13:00 pm;17:00 pm","20:00 pm","Si"
"2026/03/09 3:10:01 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","10:00 am;13:00 pm;14:00 pm;15:00 pm","20:00 pm","Si"
"2026/03/09 3:10:52 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","15:00 pm","Si"
"2026/03/09 3:11:06 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm;16:00 pm","18:00 pm;19:00 pm","Si"
"2026/03/09 3:13:44 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:15:28 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","19:00 pm","Si"
"2026/03/09 3:16:47 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","20:00 pm","Si"
"2026/03/09 3:17:01 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;13:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:22:49 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/09 3:28:39 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am","16:00 pm","Si"
"2026/03/09 3:29:59 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","20:00 pm","Si"
"2026/03/09 3:33:23 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","12:00 pm","16:00 pm","Si"
"2026/03/09 3:34:40 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","11:00 am","17:00 pm","Si"
"2026/03/09 3:36:47 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 3:36:50 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:43:14 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","18:00 pm","Si"
"2026/03/09 3:45:10 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","15:00 pm","20:00 pm","Si"
"2026/03/09 3:47:57 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;13:00 pm;16:00 pm;19:00 pm","10:00 am;13:00 pm;16:00 pm;20:00 pm","Si"
"2026/03/09 3:53:46 p. m. GMT-5","1 vez al mes","Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 3:53:48 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 3:59:22 p. m. GMT-5","2 veces al mes","Bodega Aurrera Corales","10:00 am","14:00 pm","Si"
"2026/03/09 3:59:32 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","10:00 am","Si"
"2026/03/09 3:59:47 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","16:00 pm","20:00 pm","Si"
"2026/03/09 4:02:21 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;13:00 pm;16:00 pm;19:00 pm","10:00 am;12:00 pm;16:00 pm;19:00 pm","Si"
"2026/03/09 4:13:09 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/09 4:29:00 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Bodega Aurrera Corales","10:00 am;14:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:32:33 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;13:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:35:40 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:52:26 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","10:00 am","Si"
"2026/03/09 5:00:59 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;12:00 pm;16:00 pm;19:00 pm","12:00 pm;15:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 5:01:02 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;11:00 am","18:00 pm;19:00 pm","Si"
"2026/03/09 5:22:14 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","18:00 pm","Si"
